,transect_id,country_id,continent,country_name,changerate,flag_sandy,Start_lon,Start_lat,Intersect_lon,Intersect_lat,End_lon,End_lat
288998,BOX_080_007_27,FRA,Europe,France,-0.17,True,55.7063085349,-21.034762296,55.7116101989,-21.02799352,55.7169120088,-21.0212245579
288999,BOX_080_007_28,FRA,Europe,France,-0.87,False,55.7013352457,-21.030546241,55.7082798351,-21.025227483,55.7152245182,-21.0199086532
289000,BOX_080_007_29,FRA,Europe,France,0.02,False,55.6979201139,-21.0256435909,55.7058592971,-21.0217202331,55.7137985178,-21.0177968568
289001,BOX_080_007_30,FRA,Europe,France,-0.26,False,55.6956812362,-21.0206516625,55.704149769,-21.0178542278,55.71261830979999,-21.0150567905
289002,BOX_080_007_31,FRA,Europe,France,0.2,False,55.6942163571,-21.0153171437,55.7030516486,-21.01380187,55.71188691720001,-21.0122866002
289003,BOX_080_007_32,FRA,Europe,France,1.18,False,55.6934047442,-21.0111932878,55.7022400406,-21.0096779714,55.7110753042,-21.0081626606
289004,BOX_080_007_33,FRA,Europe,France,3.0,False,55.6925931313,-21.0070693179,55.701428411,-21.0055539625,55.7102636913,-21.0040386069
289005,BOX_080_007_34,FRA,Europe,France,-1.3,False,55.6922474004,-21.0017020095,55.7012233867,-21.0013668203,55.71019935020001,-21.0010316321
289006,BOX_080_007_35,FRA,Europe,France,-0.03,False,55.6920678809,-20.9975121012,55.7010438742,-20.9971769024,55.7100198307,-20.996841705
289007,BOX_080_007_36,FRA,Europe,France,-0.01,False,55.6918883614,-20.9933220753,55.7008643567,-20.992986867,55.7098403112,-20.9926516603
289008,BOX_080_007_37,FRA,Europe,France,0.12,False,55.6917088419,-20.9891319318,55.7006848342,-20.9887967143,55.7096607917,-20.988461498
289009,BOX_080_007_38,FRA,Europe,France,0.87,False,55.6915293224,-20.9849416708,55.7005053066,-20.9846064441,55.7094812722,-20.9842712181
289010,BOX_080_007_39,FRA,Europe,France,7.16,False,55.6913205078,-20.9817617852,55.70018949439999,-20.9804287912,55.7090584753,-20.9790957979
289011,BOX_080_007_40,FRA,Europe,France,1.24,False,55.6906066867,-20.9776212674,55.699475676400006,-20.9762882359,55.7083446541,-20.9749552062
289012,BOX_080_007_41,FRA,Europe,France,0.08,False,55.6899813313,-20.97512808,55.6984124473,-20.9722329403,55.7068435615,-20.9693378012
289013,BOX_080_007_42,FRA,Europe,France,-0.33,False,55.6884310625,-20.9711918107,55.696862178500005,-20.9682965948,55.7052932926,-20.9654013794
289014,BOX_080_007_43,FRA,Europe,France,-0.46,False,55.6870442642,-20.968380867,55.69500182310001,-20.9644885499,55.7029593844,-20.9605962316
289015,BOX_080_007_44,FRA,Europe,France,0.08,False,55.684960141400005,-20.9646655234,55.6929177045,-20.9607731075,55.7008752615,-20.9568806946
289016,BOX_080_007_45,FRA,Europe,France,0.13,False,55.6831322987,-20.9614960121,55.6907755892,-20.957088415,55.698418921800005,-20.9526807937
289017,BOX_080_007_46,FRA,Europe,France,0.33,True,55.6807723822,-20.9579272269,55.6884156958,-20.9535195114,55.6960590054,-20.9491117982
289018,BOX_080_007_47,FRA,Europe,France,-0.32,True,55.6784124657,-20.9543583566,55.6860557616,-20.9499505462,55.6936990889,-20.9455427176
289019,BOX_080_007_48,FRA,Europe,France,-0.13,False,55.6762692526,-20.9515025444,55.6834899171,-20.9465116818,55.6907106208,-20.941520792
289020,BOX_080_007_49,FRA,Europe,France,0.15,False,55.6735972329,-20.9481308678,55.6808179,-20.943139891,55.6880386011,-20.9381488906
289021,BOX_080_007_50,FRA,Europe,France,0.28,False,55.6713714546,-20.945397649,55.6780800099,-20.9398179982,55.6847886601,-20.9342382685
289022,BOX_080_007_51,FRA,Europe,France,0.32,False,55.6683843287,-20.9422649619,55.675092900200006,-20.936685181,55.6818015343,-20.931105348
289023,BOX_080_007_52,FRA,Europe,France,0.15,False,55.6653972028,-20.9391322093,55.6721057557,-20.9335523272,55.6788144084,-20.927972362
289024,BOX_080_007_53,FRA,Europe,France,0.16,False,55.6627470939,-20.936813019,55.6688550448,-20.930660667,55.674963096000006,-20.924508214
289025,BOX_080_007_54,FRA,Europe,France,-0.62,False,55.659453564,-20.9339606314,55.665561508100005,-20.9278081692,55.671669566000006,-20.9216555922
289026,BOX_080_007_55,FRA,Europe,France,0.26,False,55.6567025148,-20.931881896,55.6620829773,-20.9251628757,55.6674635742,-20.9184436875
289027,BOX_080_007_56,FRA,Europe,France,-0.09,False,55.6531057477,-20.9293691519,55.6584862094,-20.9226500198,55.6638668071,-20.9159307181
289028,BOX_080_007_57,FRA,Europe,France,-0.08,False,55.650237319,-20.9275720217,55.654758717,-20.9203215515,55.659280268,-20.9130708359
289029,BOX_080_007_58,FRA,Europe,France,0.67,False,55.646356168900006,-20.9254604043,55.6508775679,-20.9182098304,55.6553991179,-20.9109590142
289030,BOX_080_007_59,FRA,Europe,France,0.11,False,55.6433966854,-20.9240166945,55.646894737,-20.9162880298,55.6503929374,-20.9085590365
289031,BOX_080_007_60,FRA,Europe,France,0.14,False,55.6392596529,-20.9223829648,55.642757705200005,-20.9146542144,55.6462559049,-20.9069251384
289032,BOX_080_007_61,FRA,Europe,France,0.15,False,55.6361423771,-20.9213198075,55.6385412694,-20.9132333939,55.6409402779,-20.9051465885
289033,BOX_080_007_62,FRA,Europe,France,0.07,False,55.6318139226,-20.9201994076,55.634212818,-20.9121129231,55.6366118235,-20.9040260677
289034,BOX_080_007_63,FRA,Europe,France,0.11,False,55.6274854682,-20.9190789992,55.6298843644,-20.9109924516,55.632283369,-20.9029055384
289035,BOX_080_007_64,FRA,Europe,France,-0.07,False,55.6231570137,-20.9179585825,55.6255559084,-20.9098719795,55.6279549145,-20.9017850009
289036,BOX_080_007_65,FRA,Europe,France,0.86,False,55.618828559300006,-20.9168381573,55.6212274501,-20.9087515069,55.6236264601,-20.9006644549
289037,BOX_080_007_66,FRA,Europe,France,-1.63,False,55.6137881375,-20.9151083153,55.6170232836,-20.9072798772,55.6202585561,-20.8994511331
289038,BOX_080_007_67,FRA,Europe,France,-0.15,False,55.6095979569,-20.9135972865,55.6128331091,-20.9057687544,55.6160683754,-20.8979399465
289039,BOX_080_007_68,FRA,Europe,France,-0.1,True,55.6054077762,-20.9120862424,55.6086429292,-20.9042576296,55.6118781947,-20.8964287447
289040,BOX_080_007_69,FRA,Europe,France,-0.03,True,55.601217595600005,-20.910575183,55.6044527438,-20.9027465028,55.6076880141,-20.8949175276
289041,BOX_080_007_70,FRA,Europe,France,-0.02,True,55.5970274149,-20.9090641085,55.600262553,-20.9012353741,55.6034978334,-20.8934062953
289042,BOX_080_007_71,FRA,Europe,France,-0.07,False,55.5932457372,-20.907896556500003,55.5960021876,-20.899909494,55.5987587632,-20.8919220688
289043,BOX_080_007_72,FRA,Europe,France,-0.21,False,55.5889708492,-20.9066090454,55.59172730109999,-20.89862191,55.594483875200005,-20.8906344206
289044,BOX_080_007_73,FRA,Europe,France,-0.09,False,55.5846959611,-20.9053215232,55.5874524111,-20.8973343249,55.5902089872,-20.8893467613
289139,BOX_080_002_0,FRA,Europe,France,-0.51,False,55.2672349568,-21.1166076937,55.2597063893,-21.121179263,55.2521778374,-21.125750823
289140,BOX_080_002_1,FRA,Europe,France,-0.04,False,55.2696853559,-21.1201191574,55.26215683109999,-21.1246905926,55.2546282365,-21.1292620702
289141,BOX_080_002_2,FRA,Europe,France,-0.74,False,55.2721357551,-21.123630538,55.2646072321,-21.1282018638,55.2570786357,-21.1327732342
289142,BOX_080_002_3,FRA,Europe,France,-1.1,False,55.2745861542,-21.1271418354,55.2670575924,-21.1317130766,55.2595290348,-21.1362843151
289143,BOX_080_002_4,FRA,Europe,France,-0.44,False,55.2772625741,-21.1314059019,55.269323044,-21.1353257242,55.2613835412,-21.1392455331
289144,BOX_080_002_5,FRA,Europe,France,-0.7,False,55.2799667299,-21.1368939265,55.2712936834,-21.1390764088,55.262620640200005,-21.1412588903
289145,BOX_080_002_6,FRA,Europe,France,-0.48,False,55.2811367008,-21.1409386391,55.2724636562,-21.1431210614,55.263790611000005,-21.145303483800003
